group,n_takes,n_positions,std_A_px,std_B_px,std_C_torso,std_D_px,std_D_torso,std_C_pct_torso,std_D_pct_torso,std_B_pct_torso
static-fixed,9,3,14.238000015597757,16.676979097071253,0.07414222362296355,15.029948939711423,0.08558537873242737,7.414222362296355,8.558537873242738,7.671200029588817
static-reset,3,1,28.710473698310164,3.0932778810576207,0.020569579075480644,7.005426177225507,0.03182618875621871,2.0569579075480644,3.182618875621871,1.4001694361493415
