group,n_takes,n_positions,std_A_px,std_B_px,std_C_torso,std_D_px,std_D_torso,std_C_pct_torso,std_D_pct_torso,std_B_pct_torso
static-fixed,9,3,14.238000015597757,16.676979097071253,0.07414222362296355,15.350130121554649,0.12234480357197426,7.414222362296355,12.234480357197427,7.671200029588817
static-reset,3,1,28.710473698310164,3.0932778810576207,0.020569579075480644,9.754133546604278,0.08145545547197007,2.0569579075480644,8.145545547197006,1.4001694361493415
