filename,group,move_id,frames,frames_core,frames_ankles,ankle_gated,hipA_px,hipA_within_std,hipB_px,hipC_torso,hipD_px,hipD_torso,hipB_peak_px,hipC_peak_torso,hipD_peak_px,hipD_peak_torso,torso_px
sf1-1.MOV,static-fixed,pos1,779,779,482,False,836.6621017456055,39.57236085137285,21.291704177856445,0.1023964348760977,-625.3378982543945,-2.983282862354341,370.47825622558594,1.2345585081096544,-621.4233379364014,-2.964607773665616,209.6140148644476
sf1-2.MOV,static-fixed,pos1,793,793,726,False,869.7367286682129,62.8556677594261,49.326210021972656,0.22976004774872594,-594.2632713317871,-2.7335360907327253,394.8544406890869,1.2675709573315022,-586.7749099731445,-2.699090573027376,217.3972655222908
sf1-3.MOV,static-fixed,pos1,773,773,745,False,860.1937866210938,67.49312577602765,50.958709716796875,0.2318436620006129,-603.8062133789062,-2.6946794343725147,401.6055450439453,1.2948616438317584,-592.4357528686523,-2.643935097170574,224.07348557937433
sr1-1.MOV,static-reset,pos1,688,688,655,False,810.0601100921631,57.70012247066984,52.58995056152344,0.24739736037336002,-587.9398899078369,-2.705975978065288,320.3994998931885,1.1333711771726167,-581.4676523208618,-2.6761876957335153,217.27461539706673
sr1-2.MOV,static-reset,pos1,536,536,532,False,819.9130725860596,56.089998798943185,48.040008544921875,0.2175352071484551,-571.0869274139404,-2.585019813596701,376.18115615844727,1.2890235841908622,-568.252311706543,-2.57218895122565,220.92168284751023
sr1-3.MOV,static-reset,pos1,527,527,527,False,765.996150970459,42.03495337547169,46.68474197387695,0.2079609454933672,-571.003849029541,-2.5509876932800295,214.11547279357887,0.7436505737624252,-569.0887432098389,-2.542431864128103,223.8363793497377
sf2-1.MOV,static-fixed,pos2,560,560,9,True,703.8817977905273,15.670112469746384,,,-817.1182022094727,-3.382374945440426,,,-797.6341323852539,-3.301722685546508,241.58120119443885
sf2-2.MOV,static-fixed,pos2,684,684,70,True,697.1926975250244,21.808253858098027,,,-825.8073024749756,-3.365791971184109,,,-798.8664569854736,-3.255987563819686,245.35304307130156
sf2-3.MOV,static-fixed,pos2,642,642,73,True,713.1689357757568,20.638362469468717,,,-805.8310642242432,-3.2760304752212317,,,-784.8866882324219,-3.1908830825729324,245.97789010794384
sf3-1.MOV,static-fixed,pos3,516,516,110,True,795.3666973114014,52.58760173029973,,,-727.6333026885986,-4.71828586009674,,,-721.8299465179443,-4.68065441406489,154.2156037730363
sf3-2.MOV,static-fixed,pos3,576,576,164,True,797.3642921447754,50.09598131028738,,,-727.6357078552246,-4.457853466795625,,,-718.0162191390991,-4.398919757716969,163.22557779770642
sf3-3.MOV,static-fixed,pos3,548,548,96,True,823.9155578613281,54.07912479289782,,,-695.0844421386719,-4.56715944802772,,,-691.7008419036865,-4.544926981229853,152.191849233299
m1-1.MOV,movement,move1,203,203,203,False,1369.646987915039,149.8152294533927,97.6376724243164,0.21584801042668075,-1564.353012084961,-3.4017375294940786,433.17263031005837,0.7757376277859452,-1274.396713256836,-2.771217937038266,459.8688166037367
m1-2.MOV,movement,move1,228,228,107,True,1350.7525062561035,158.91946540987252,,,-1579.2474937438965,-3.0080186335479286,,,-1260.4649467468262,-2.400828281677369,525.0125368675624
